Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
7.6,Master's,11,1,5,55.8
6.8,PhD,16,2,3,80.28
1.8,PhD,12,0,5,56.27
0.8,Bachelor's,14,1,1,23.33
3.7,Bachelor's,9,1,6,42.52
8.6,Bachelor's,9,1,9,59.76
5.2,Bachelor's,13,1,9,59.48
10.3,Bachelor's,17,4,6,88.88
5.0,Bachelor's,9,0,2,24.67
10.8,Diploma,14,2,5,52.77
2.4,Bachelor's,3,2,5,9.11
5.8,Diploma,9,0,6,38.16
2.9,Diploma,5,3,0,10.0
3.7,Master's,13,2,3,50.37
4.3,High School,6,3,1,15.38
5.2,Bachelor's,13,1,4,67.79
2.1,PhD,7,3,7,51.27
5.6,Bachelor's,9,2,3,39.94
4.1,Bachelor's,9,0,6,40.14
1.1,Master's,11,0,3,20.58
0.6,Bachelor's,3,0,3,0.0
8.6,Bachelor's,5,3,5,57.25
3.5,Master's,14,4,3,65.15
1.0,Master's,9,1,1,21.29
12.0,Master's,11,4,4,74.37
6.0,PhD,10,0,5,63.24
5.1,Bachelor's,10,0,6,30.21
2.0,Master's,12,0,1,24.2
1.1,Bachelor's,10,0,8,27.61
4.6,Master's,7,1,5,41.56
3.9,Master's,17,2,4,59.21
1.5,Master's,3,3,6,30.89
1.5,Master's,11,3,9,72.5
1.4,Bachelor's,13,1,5,39.7
1.3,Master's,16,2,5,60.36
2.4,Bachelor's,10,1,6,40.5
5.1,Bachelor's,11,0,4,29.2
5.8,Master's,15,4,3,77.35
3.9,Master's,11,3,5,63.98
4.4,Bachelor's,2,0,3,3.26
6.0,Bachelor's,8,1,2,35.79
0.5,Bachelor's,13,2,4,39.32
4.7,Diploma,5,2,5,25.68
9.6,Bachelor's,8,2,4,64.86
3.4,Master's,8,1,2,34.95
8.4,Bachelor's,12,1,3,44.03
3.5,PhD,9,3,6,69.15
6.2,Bachelor's,15,6,6,83.89
5.0,Master's,16,4,6,75.34
1.4,Bachelor's,7,2,1,2.38
1.7,Master's,8,2,6,45.05
10.8,Bachelor's,14,8,9,100.0
7.2,Master's,13,1,10,87.57
3.7,Master's,7,1,3,37.6
3.3,Bachelor's,14,0,2,44.43
2.0,Diploma,8,1,3,13.55
5.4,Bachelor's,8,1,2,28.18
2.1,Master's,6,0,8,39.97
3.0,Bachelor's,13,3,6,50.14
2.4,Bachelor's,10,2,7,35.61
6.9,Bachelor's,14,1,6,52.75
3.6,Bachelor's,6,2,2,20.81
4.4,Master's,9,4,5,68.68
1.4,Master's,10,1,3,25.17
2.3,Master's,12,2,6,49.55
4.5,Master's,12,1,4,58.52
0.8,Master's,16,1,4,48.5
3.4,Bachelor's,10,0,8,39.94
4.0,PhD,8,3,6,64.55
1.2,Diploma,5,1,7,28.84
8.1,Bachelor's,10,0,4,47.59
5.2,Master's,14,2,1,57.1
3.5,Bachelor's,8,2,5,39.03
2.2,Bachelor's,15,1,4,45.6
0.8,Bachelor's,6,0,4,26.16
7.7,Bachelor's,11,0,5,44.84
2.7,Master's,16,5,3,73.85
1.0,Bachelor's,6,0,2,7.48
2.1,Diploma,8,1,6,28.04
5.6,Bachelor's,11,0,6,56.9
4.8,Bachelor's,5,0,2,11.77
1.5,Diploma,7,0,1,1.18
8.6,Bachelor's,14,5,5,82.15
1.0,Bachelor's,7,1,4,9.97
9.9,Diploma,3,3,12,66.8
4.6,Bachelor's,12,2,2,52.91
2.9,Bachelor's,11,0,4,36.55
3.3,Master's,14,2,2,47.94
4.2,Bachelor's,6,2,2,16.12
5.9,Bachelor's,8,1,5,44.65
0.6,PhD,10,1,7,47.59
2.1,Bachelor's,7,0,3,8.59
4.1,High School,8,2,5,20.28
8.9,Master's,9,2,9,83.32
8.6,Diploma,5,2,5,32.75
11.2,Master's,15,6,8,100.0
8.4,Master's,13,0,6,66.78
1.9,PhD,14,3,5,65.57
3.9,PhD,15,1,4,65.4
8.4,Bachelor's,13,2,5,51.88
7.8,Master's,11,0,3,57.71
3.4,Bachelor's,8,1,1,41.32
5.8,Bachelor's,17,2,2,57.16
2.7,Bachelor's,15,1,4,52.82
0.9,Diploma,5,0,3,0.0
3.6,High School,7,1,3,0.0
3.5,Diploma,8,0,6,37.37
2.6,Diploma,13,2,3,24.29
5.9,Bachelor's,6,2,3,41.02
3.3,Master's,14,5,3,71.26
5.3,Bachelor's,16,0,6,63.98
6.8,Master's,11,2,11,81.83
16.9,Master's,14,2,9,100.0
3.7,Master's,7,2,8,50.06
8.9,Bachelor's,11,0,6,71.38
4.7,Master's,11,2,5,60.83
4.9,Master's,12,2,1,65.67
3.7,Master's,9,1,7,49.3
4.4,Master's,9,3,6,65.79
3.3,Bachelor's,9,1,5,25.19
7.9,Bachelor's,12,4,5,69.59
2.1,Master's,9,2,6,65.42
0.9,Bachelor's,8,1,3,13.56
2.6,Master's,16,3,4,60.76
2.3,Diploma,8,1,2,16.3
2.6,High School,6,0,3,0.0
3.6,Bachelor's,7,0,3,34.17
2.6,Diploma,7,1,3,9.91
3.5,PhD,8,3,6,66.35
2.6,High School,5,3,3,8.42
5.4,Master's,8,2,3,39.67
16.8,Bachelor's,11,2,6,77.18
4.7,PhD,8,1,2,37.95
2.7,Bachelor's,9,3,5,17.95
0.3,High School,4,0,3,0.0
13.3,High School,8,4,7,51.56
4.9,Bachelor's,9,1,10,50.1
3.5,PhD,10,3,3,69.23
0.3,PhD,14,1,4,48.28
3.7,Bachelor's,13,3,5,59.73
4.4,Bachelor's,10,2,3,27.43
2.6,Diploma,9,0,2,3.69
1.1,Bachelor's,11,2,2,41.56
1.0,Bachelor's,6,2,3,16.48
13.4,Bachelor's,8,2,3,70.31
4.3,Bachelor's,6,1,4,44.91
2.6,Master's,8,3,1,35.09
4.1,High School,9,1,3,5.6
3.9,Bachelor's,9,2,5,25.22
1.0,Bachelor's,6,2,5,27.66
7.6,Diploma,10,3,3,45.67
3.4,Diploma,9,3,5,39.72
4.4,Bachelor's,8,1,10,60.48
10.5,Diploma,6,2,6,38.57
1.2,Master's,12,0,1,43.11
2.0,Master's,7,1,4,31.39
5.1,Master's,9,1,9,64.69
7.5,Master's,9,5,3,69.76
2.4,Diploma,10,0,5,13.66
2.5,Diploma,8,1,4,7.86
6.3,Bachelor's,8,2,4,44.43
15.9,PhD,14,3,11,100.0
4.2,PhD,16,1,10,87.47
2.0,Bachelor's,9,0,1,11.29
1.5,Bachelor's,10,1,3,23.14
3.6,Bachelor's,6,0,4,7.56
7.2,Bachelor's,10,1,2,16.34
20.5,PhD,16,4,13,100.0
3.1,Bachelor's,11,2,3,45.86
4.2,Bachelor's,15,1,2,23.73
12.0,Bachelor's,14,4,8,98.06
5.0,Diploma,7,1,1,14.45
4.7,Bachelor's,6,1,2,13.12
10.5,Master's,17,5,9,100.0
4.3,Diploma,6,1,3,22.7
1.7,Bachelor's,6,0,5,25.95
9.1,Bachelor's,15,0,6,76.91
0.8,Diploma,7,1,4,16.68
8.0,High School,10,2,6,31.76
4.0,Bachelor's,8,0,4,26.82
3.1,Diploma,8,3,2,24.82
3.1,Bachelor's,9,3,5,54.65
3.6,Master's,9,2,4,45.74
2.8,Master's,7,1,4,31.16
5.5,PhD,15,3,2,64.27
2.9,Bachelor's,12,1,1,35.18
4.0,Master's,19,1,2,63.26
0.5,Master's,9,4,6,47.39
4.0,Bachelor's,9,1,8,51.2
2.7,Bachelor's,7,1,5,25.66
7.6,Bachelor's,13,0,1,30.48
3.2,Master's,10,2,3,55.62
6.9,Bachelor's,1,1,7,17.1
6.3,Bachelor's,8,1,3,36.29
6.5,PhD,9,2,4,65.61
3.3,Diploma,5,0,1,0.0
4.2,PhD,13,2,4,71.47
5.4,Master's,18,2,5,71.92
4.3,Master's,7,1,3,49.68
3.3,Master's,15,1,3,60.57
1.8,Bachelor's,9,1,1,20.08
4.0,Bachelor's,8,3,8,34.26
0.9,Master's,5,4,4,35.55
0.4,Master's,9,4,3,39.99
1.4,Bachelor's,14,3,5,59.15
6.4,Diploma,5,0,4,17.7
4.8,Bachelor's,9,1,5,41.39
6.5,Bachelor's,9,2,6,59.2
2.2,Bachelor's,11,3,3,51.64
8.2,Master's,11,5,5,93.65
1.0,Master's,8,2,2,35.71
1.5,Master's,15,4,1,54.13
8.1,Bachelor's,10,4,2,59.62
4.5,Bachelor's,9,1,11,55.59
6.5,Bachelor's,9,2,3,48.66
4.8,Bachelor's,7,0,7,31.34
2.5,High School,4,1,4,3.61
1.3,Bachelor's,6,0,3,11.43
0.6,Bachelor's,6,0,6,20.7
12.6,Bachelor's,11,2,7,68.52
0.8,Diploma,8,2,3,11.43
10.2,Bachelor's,16,0,5,70.01
4.3,High School,7,1,3,5.04
4.9,Bachelor's,9,2,7,32.67
4.7,Bachelor's,14,0,5,36.74
5.9,Bachelor's,9,0,3,34.21
2.0,Diploma,12,0,2,25.1
0.3,PhD,15,1,9,70.6
2.5,Bachelor's,7,1,2,15.15
5.6,Master's,18,4,2,85.95
1.5,Bachelor's,14,0,2,27.65
8.3,Master's,19,3,8,100.0
3.6,Master's,9,2,1,36.58
1.4,Bachelor's,7,0,3,10.75
4.5,Master's,6,1,2,38.63
5.5,Bachelor's,5,2,5,41.35
5.8,Master's,10,1,7,58.18
8.1,Bachelor's,17,1,3,53.45
1.0,High School,5,0,2,0.0
8.1,PhD,7,3,7,68.65
8.6,Master's,15,1,8,78.84
1.3,Bachelor's,7,3,4,32.85
1.6,PhD,16,2,2,50.34
6.7,Bachelor's,8,3,3,34.05
2.9,Bachelor's,11,4,6,58.02
9.5,Master's,7,3,6,82.39
11.3,Bachelor's,12,3,7,88.57
1.4,Bachelor's,9,0,6,13.73
2.0,Master's,8,2,2,37.52
4.3,Diploma,6,1,5,27.25
0.3,Bachelor's,10,1,2,15.69
0.6,Bachelor's,7,1,5,20.24
1.8,Master's,8,1,3,34.74
14.0,Diploma,13,2,5,73.55
4.8,Bachelor's,17,1,5,60.67
2.3,Master's,10,2,4,51.45
1.6,Diploma,15,1,7,40.93
1.3,Bachelor's,6,1,6,20.02
2.4,Master's,9,2,5,43.72
2.3,Master's,6,1,4,26.26
3.3,Diploma,7,1,2,7.4
5.7,Master's,12,0,2,49.66
3.7,Master's,7,1,7,41.61
7.0,Bachelor's,17,6,7,100.0
3.1,Master's,9,1,5,37.08
11.9,Master's,14,4,6,100.0
6.9,Bachelor's,8,4,5,63.16
4.7,Bachelor's,11,2,1,39.71
5.7,Master's,12,1,6,48.42
2.5,PhD,16,2,4,72.12
3.3,Bachelor's,7,0,3,13.9
3.2,Master's,14,2,4,48.46
2.1,Master's,9,0,0,23.62
1.1,Master's,6,1,5,22.21
5.9,PhD,16,2,5,85.89
7.8,Diploma,8,4,8,68.9
5.3,Diploma,8,1,5,30.09
3.7,Bachelor's,9,1,4,31.16
15.5,Bachelor's,8,3,9,88.21
2.3,Bachelor's,10,0,4,33.12
4.8,Master's,7,3,5,51.82
8.6,PhD,10,1,7,75.66
1.5,Bachelor's,7,0,4,10.12
6.3,Master's,13,4,3,64.85
12.4,Diploma,7,3,1,50.63
4.0,Bachelor's,16,2,3,48.43
4.5,High School,7,2,5,21.65
2.3,Bachelor's,8,1,5,34.02
5.7,Bachelor's,7,0,9,37.02
2.0,Master's,9,1,2,26.43
3.8,Bachelor's,10,1,3,36.83
1.0,Bachelor's,11,1,6,36.55
0.1,High School,6,0,3,0.0
2.7,Diploma,7,0,3,10.66
2.7,PhD,11,1,7,71.52
2.9,Master's,12,0,5,45.83
6.7,Bachelor's,12,2,6,55.18
8.0,Bachelor's,10,1,3,45.8
5.0,Bachelor's,9,0,3,23.12
6.4,Master's,16,2,8,85.14
2.1,Bachelor's,4,2,4,21.11
1.6,Diploma,6,0,2,0.0
5.7,Bachelor's,13,2,4,49.91
1.4,Bachelor's,8,1,3,18.42
1.3,Bachelor's,7,0,4,21.78
21.0,Diploma,17,1,5,88.84
4.2,Master's,10,1,5,43.99
2.7,Bachelor's,10,1,5,32.48
2.4,Bachelor's,12,0,2,29.66
1.0,Bachelor's,13,0,1,26.16
4.9,Bachelor's,5,1,5,31.86
3.1,Master's,13,1,4,56.09
7.8,PhD,12,1,8,92.94
5.9,Diploma,9,0,3,22.55
3.0,Master's,6,5,2,41.1
0.5,Master's,12,1,2,34.36
4.2,Master's,4,2,4,27.56
3.9,Bachelor's,16,0,4,48.14
0.3,Bachelor's,10,0,3,13.95
5.4,High School,8,0,5,13.98
1.4,PhD,10,2,3,50.2
8.1,Bachelor's,8,3,3,47.13
3.7,Bachelor's,6,1,3,24.52
2.3,Bachelor's,10,1,4,30.19
4.6,High School,3,3,2,0.0
4.4,Diploma,9,2,5,24.2
4.3,Bachelor's,15,3,8,72.58
7.4,Bachelor's,7,0,6,31.35
4.8,Master's,8,3,2,60.8
2.2,Master's,9,1,5,51.17
3.2,Bachelor's,7,2,6,25.59
10.1,Master's,11,3,6,86.65
2.0,Diploma,5,2,8,33.01
5.3,Master's,14,1,2,49.46
7.5,Master's,16,3,7,91.68
5.7,Bachelor's,9,1,3,34.89
4.2,Diploma,6,2,4,26.7
4.7,Bachelor's,15,1,5,49.6
6.0,Diploma,5,2,4,32.09
2.0,Bachelor's,4,0,4,10.33
3.9,Diploma,11,0,5,23.77
15.5,Master's,11,2,7,100.0
5.5,Diploma,8,4,9,60.99
4.3,High School,11,0,5,0.0
2.9,Bachelor's,14,2,1,16.8
2.0,Diploma,8,2,1,13.6
4.8,PhD,8,0,5,47.72
5.1,Bachelor's,8,1,4,24.92
3.7,Bachelor's,8,0,6,28.94
19.6,Diploma,10,5,10,100.0
2.2,Bachelor's,11,1,3,20.44
1.7,Bachelor's,15,1,6,53.52
3.0,Master's,17,2,1,50.23
3.8,Bachelor's,13,0,4,27.19
1.9,Bachelor's,10,1,1,16.59
4.7,Bachelor's,8,1,6,28.89
5.1,Master's,7,4,9,59.89
6.5,Bachelor's,10,4,7,61.09
2.6,Bachelor's,10,1,3,21.02
9.5,Master's,18,4,9,100.0
6.2,Master's,12,2,4,63.55
2.1,Bachelor's,7,1,3,14.7
1.9,PhD,11,1,7,66.35
3.1,Master's,12,4,5,60.66
5.1,Diploma,11,2,7,43.81
5.7,Master's,12,4,4,54.29
6.2,Bachelor's,7,2,6,46.72
14.8,Bachelor's,13,0,9,100.0
0.7,Bachelor's,7,2,3,26.95
3.6,Master's,10,2,4,48.67
14.0,Bachelor's,12,1,4,61.73
6.7,Bachelor's,11,1,3,55.48
1.6,High School,4,1,1,0.0
4.6,Bachelor's,8,4,4,42.34
3.5,Master's,10,1,4,40.17
3.4,Master's,14,0,4,64.61
2.6,Diploma,11,0,2,12.58
4.3,Master's,6,1,2,35.3
8.4,Master's,7,3,5,63.17
2.7,Bachelor's,11,1,4,34.16
6.2,High School,14,2,4,32.98
7.0,Bachelor's,7,3,0,45.99
9.5,Diploma,14,1,6,57.63
1.9,Bachelor's,8,1,5,17.8
4.0,Bachelor's,9,0,7,40.78
2.3,Master's,11,2,5,50.57
4.3,Bachelor's,11,3,6,57.46
4.3,Master's,12,2,2,48.39
1.5,Master's,7,0,2,17.41
4.5,High School,4,0,5,7.66
15.3,Bachelor's,16,3,7,100.0
5.7,Master's,8,0,5,31.26
1.2,Master's,9,1,3,33.48
1.8,Bachelor's,7,1,3,15.65
3.9,Master's,15,2,4,55.89
1.8,Bachelor's,6,3,4,13.76
9.1,Master's,11,5,9,99.99
1.0,Master's,8,1,6,35.2
5.7,Diploma,5,2,5,22.69
0.8,Diploma,8,1,2,14.64
3.8,Diploma,9,1,4,19.63
1.6,PhD,15,2,4,62.59
6.5,Master's,9,0,9,51.59
8.1,Master's,9,2,7,62.99
5.1,Diploma,5,1,5,31.01
8.4,Bachelor's,10,1,9,68.28
0.2,Diploma,7,2,2,15.86
4.4,Bachelor's,12,4,0,38.17
5.7,Bachelor's,8,2,8,55.55
6.2,Master's,15,2,4,77.08
5.4,Diploma,8,1,6,35.37
6.3,Bachelor's,12,0,5,57.45
4.4,PhD,14,1,8,82.04
1.2,Master's,8,1,5,36.39
2.5,Diploma,8,2,3,1.12
9.2,Master's,12,1,9,84.21
8.5,Bachelor's,6,0,7,48.46
5.6,Bachelor's,11,2,5,59.27
6.6,Master's,13,4,6,75.3
7.8,Master's,16,2,5,79.13
5.5,Bachelor's,13,1,3,32.95
9.0,Bachelor's,8,2,4,38.96
8.8,Bachelor's,13,3,9,85.22
18.4,Diploma,11,2,15,100.0
2.6,Master's,16,0,2,55.4
2.7,Diploma,9,1,3,19.91
5.3,Bachelor's,7,0,11,63.82
13.5,Bachelor's,10,3,11,91.21
9.5,Bachelor's,13,0,4,61.26
7.1,Bachelor's,10,3,3,42.01
9.9,Bachelor's,9,1,2,22.1
5.7,Bachelor's,6,2,5,35.81
3.2,Diploma,6,1,3,10.2
15.7,Master's,8,4,11,100.0
5.4,PhD,19,2,7,94.2
8.7,Bachelor's,9,3,3,56.73
0.2,Bachelor's,5,0,3,18.3
0.3,High School,7,0,2,0.0
4.5,High School,4,0,4,0.0
1.8,Bachelor's,8,1,7,15.27
4.9,PhD,14,1,8,72.64
2.7,Master's,10,3,4,61.89
20.2,Bachelor's,16,1,10,100.0
8.2,PhD,26,2,9,100.0
10.6,Bachelor's,8,3,8,76.73
0.4,Bachelor's,6,1,5,18.63
7.1,Bachelor's,14,0,3,46.36
3.5,Bachelor's,9,3,7,45.64
10.7,Master's,10,4,1,87.82
6.4,Bachelor's,3,1,8,31.43
3.9,Master's,11,4,5,73.79
1.3,Bachelor's,9,2,6,42.52
4.5,Master's,6,4,7,65.95
9.0,Bachelor's,8,0,5,43.47
11.1,Bachelor's,10,3,7,64.37
3.0,Diploma,12,2,5,26.78
18.1,Master's,17,3,8,100.0
8.6,Bachelor's,11,0,6,55.9
1.8,Bachelor's,4,1,3,19.12
1.5,Master's,12,1,3,43.13
3.7,Diploma,5,1,3,12.12
3.0,Bachelor's,7,3,5,46.14
5.8,Bachelor's,7,0,6,20.14
4.1,Bachelor's,8,1,1,6.62
3.2,Bachelor's,10,1,4,22.37
0.9,Bachelor's,9,2,4,36.15
6.5,Diploma,10,4,9,47.23
0.8,High School,8,0,3,0.0
8.6,Diploma,9,5,3,46.19
0.5,PhD,14,2,4,61.68
0.7,Bachelor's,8,2,3,22.41
1.8,Bachelor's,9,0,4,24.41
2.8,Bachelor's,5,0,5,16.1
2.3,Master's,15,2,6,68.98
2.8,Diploma,10,2,4,37.75
4.9,Bachelor's,8,0,3,35.7
1.9,Master's,5,3,5,38.15
5.0,Bachelor's,11,0,3,27.39
0.2,Master's,9,1,4,34.31
1.8,Master's,9,3,6,67.42
0.7,Master's,9,0,2,23.36
8.5,Diploma,7,1,5,41.1
2.1,Diploma,9,0,3,15.97
6.2,Diploma,16,1,3,49.15
0.6,Master's,12,1,4,50.48
11.0,Master's,15,5,10,100.0
4.3,Master's,14,2,6,60.22
3.9,Bachelor's,7,0,4,24.39
0.9,Master's,10,1,2,40.45
1.6,Bachelor's,13,0,3,37.49
3.3,Master's,13,0,4,46.37
1.7,Bachelor's,1,1,2,9.6
7.9,Diploma,11,2,10,58.91
4.2,Diploma,14,0,4,25.02
1.7,PhD,9,0,3,30.16
7.1,Bachelor's,8,1,7,48.35
2.9,Bachelor's,11,2,5,40.33
6.9,Bachelor's,12,2,5,64.39
2.6,Bachelor's,12,1,4,40.84
5.9,PhD,19,4,4,98.03
2.9,Diploma,7,1,4,15.93
7.9,Diploma,11,1,5,39.5
0.6,Master's,8,0,4,13.89
1.2,Bachelor's,8,2,5,22.11
3.5,Diploma,6,2,3,22.47
2.2,High School,9,0,0,0.0
2.8,Bachelor's,13,2,6,40.59
6.4,Bachelor's,11,1,5,58.53
2.7,High School,5,1,4,12.4
5.1,Bachelor's,10,3,6,63.52
1.8,Master's,10,2,0,35.99
0.4,Master's,12,1,6,48.52
6.9,Master's,7,1,5,50.65
12.7,Bachelor's,11,2,8,81.76
4.7,Bachelor's,7,0,5,33.97
3.7,PhD,7,5,2,66.92
4.3,Master's,19,3,4,81.25
10.0,Bachelor's,18,2,5,56.15
4.8,Bachelor's,7,3,5,52.23
7.1,Bachelor's,11,2,5,56.71
6.9,Bachelor's,10,1,5,37.6
8.4,Bachelor's,10,3,6,65.83
3.6,High School,12,0,4,16.55
2.5,PhD,10,0,4,36.03
6.0,Bachelor's,9,2,3,36.68
8.0,Bachelor's,7,3,8,53.88
9.1,Bachelor's,14,2,10,75.75
10.8,Master's,12,6,8,100.0
7.5,Master's,14,3,5,73.92
2.4,Diploma,15,3,2,37.09
4.7,Bachelor's,15,1,8,67.15
4.4,Master's,9,0,2,31.45
4.0,Master's,8,5,5,69.21
6.0,Bachelor's,5,1,7,49.03
3.4,Master's,5,2,2,37.92
3.4,Bachelor's,12,1,4,43.47
13.2,Diploma,10,3,8,80.37
3.8,Diploma,12,0,4,28.13
8.4,Diploma,8,2,6,50.89
8.7,Bachelor's,11,2,7,57.2
4.8,Bachelor's,8,1,7,42.04
3.5,Master's,11,2,5,57.83
1.9,Diploma,5,2,1,3.18
0.8,PhD,7,1,5,61.59
6.3,Diploma,9,0,3,21.16
5.4,Bachelor's,18,0,6,47.13
7.0,Master's,10,2,3,57.41
2.7,Master's,13,0,5,53.98
14.1,Bachelor's,10,3,7,77.67
5.8,Master's,10,6,3,72.05
3.7,Diploma,8,3,4,29.1
0.4,High School,9,0,4,0.0
2.9,Bachelor's,7,2,3,23.17
7.2,Diploma,8,0,8,45.65
10.6,Bachelor's,7,2,4,69.13
4.1,Bachelor's,11,0,9,42.59
11.8,Master's,15,1,11,92.13
1.7,Master's,13,0,3,35.83
5.5,Master's,13,1,6,74.13
5.6,Master's,10,2,4,53.93
6.3,Diploma,9,0,1,19.38
4.6,High School,8,2,2,4.67
5.3,Master's,10,2,7,76.91
1.7,Bachelor's,6,0,2,7.15
9.9,Bachelor's,4,2,6,51.78
7.8,Bachelor's,7,1,8,46.15
5.1,Bachelor's,12,0,1,23.95
7.9,Bachelor's,9,1,8,56.98
10.2,Bachelor's,13,1,6,68.08
6.3,Bachelor's,10,0,5,47.46
15.1,Bachelor's,12,1,6,66.96
6.6,PhD,14,2,6,77.39
2.0,Bachelor's,9,0,2,12.21
5.0,Master's,9,3,5,60.25
8.2,Master's,13,2,4,62.24
10.2,Diploma,10,2,7,56.9
4.7,Master's,9,0,8,48.45
1.8,Bachelor's,6,0,3,11.56
3.4,Bachelor's,11,1,4,31.0
1.1,High School,7,1,8,4.23
7.1,Master's,8,4,5,70.0
2.9,PhD,12,1,2,60.49
2.2,High School,5,0,4,0.0
7.6,Bachelor's,9,3,3,59.02
11.6,Diploma,13,1,8,76.07
2.2,Master's,10,1,5,42.88
4.7,Bachelor's,13,1,6,64.89
3.5,Diploma,6,0,5,18.71
10.5,Master's,7,2,4,56.2
3.9,Bachelor's,8,2,4,30.9
1.7,Bachelor's,8,1,3,22.8
4.0,Bachelor's,9,0,10,53.19
9.0,Bachelor's,5,3,7,55.62
3.4,Bachelor's,11,2,3,31.32
2.4,Bachelor's,9,2,2,33.69
3.7,Bachelor's,7,3,1,20.53
1.7,Master's,14,0,5,49.53
3.5,Bachelor's,8,1,2,24.36
2.6,Master's,10,1,6,38.3
16.9,Bachelor's,12,3,4,100.0
0.5,Master's,14,1,1,36.82
1.9,Bachelor's,10,2,3,22.97
2.4,Master's,16,2,3,57.96
1.7,Bachelor's,11,1,2,13.08
5.6,High School,6,3,5,25.82
2.2,Diploma,11,0,1,15.66
1.0,High School,11,1,3,25.97
4.4,PhD,7,3,6,66.85
3.2,PhD,10,3,5,61.87
2.3,Master's,8,1,5,41.16
10.3,Diploma,15,1,9,81.44
5.7,Master's,7,3,6,63.34
5.2,Master's,12,3,4,70.2
5.8,Bachelor's,7,1,7,48.77
5.6,Bachelor's,13,4,6,71.63
3.4,Master's,7,2,4,31.98
2.2,High School,5,0,4,0.0
4.5,Bachelor's,3,3,6,24.78
3.3,Master's,9,2,3,34.95
0.5,Diploma,3,1,4,0.0
1.6,Bachelor's,7,0,6,36.84
3.0,Bachelor's,11,2,4,35.03
7.7,Master's,12,4,6,82.76
4.5,PhD,8,2,5,59.34
1.9,Master's,6,2,7,45.78
1.4,Bachelor's,11,0,5,29.56
8.9,Bachelor's,5,1,8,41.29
3.5,Bachelor's,10,1,4,39.04
0.1,Bachelor's,8,0,6,16.1
3.7,Diploma,12,1,6,30.27
6.6,Master's,12,1,4,56.52
1.4,Master's,8,1,5,42.95
4.2,Bachelor's,9,1,4,29.75
4.5,Master's,12,3,7,71.52
1.5,Master's,12,0,2,36.13
9.5,Bachelor's,11,1,5,59.49
4.6,High School,8,2,5,21.7
3.0,Diploma,8,0,3,0.17
3.5,Bachelor's,5,0,7,27.92
1.2,Bachelor's,11,0,4,18.78
1.2,Diploma,5,0,5,0.0
2.7,Diploma,6,0,7,13.28
2.9,Bachelor's,11,2,2,30.23
3.3,Master's,8,2,3,63.19
10.0,Master's,20,4,6,100.0
6.4,Bachelor's,4,0,5,33.05
0.6,Diploma,12,1,1,8.68
8.8,Diploma,6,0,3,21.5
2.7,Diploma,12,2,4,50.32
6.8,Bachelor's,11,1,10,59.69
2.9,High School,11,1,7,25.33
4.4,Bachelor's,8,2,2,44.95
1.3,PhD,9,1,4,41.09
5.1,Bachelor's,15,1,1,43.39
7.4,Master's,17,1,5,75.71
0.8,Diploma,5,0,4,0.0
7.4,Bachelor's,9,3,8,70.66
2.2,PhD,13,1,3,47.33
12.3,Bachelor's,4,3,10,79.2
6.9,Bachelor's,10,1,2,41.92
6.1,PhD,10,1,3,66.56
3.5,Bachelor's,10,1,5,36.15
19.0,Bachelor's,12,1,11,100.0
2.7,Bachelor's,10,1,3,36.89
1.6,Diploma,7,1,4,1.31
2.3,Diploma,5,0,6,1.31
8.3,High School,11,3,6,50.1
4.3,Master's,13,1,3,57.47
3.8,Master's,9,2,12,72.72
2.8,Bachelor's,11,0,2,31.11
3.7,Bachelor's,6,0,4,18.43
2.6,Master's,7,0,7,48.67
6.5,Master's,11,2,3,57.36
3.3,Bachelor's,4,1,5,17.13
2.3,Bachelor's,8,0,3,29.23
7.8,Master's,11,1,3,63.09
1.7,Master's,13,0,5,41.63
4.3,Master's,8,1,8,51.19
0.5,Bachelor's,7,2,2,21.99
1.1,Diploma,6,0,4,0.0
3.0,Bachelor's,8,0,3,23.16
2.6,Bachelor's,14,0,3,32.51
2.6,Master's,8,2,2,37.98
6.9,High School,8,1,7,13.29
7.2,Bachelor's,10,3,5,51.22
5.0,Master's,9,2,6,59.46
1.6,PhD,9,2,11,80.36
3.7,Master's,14,3,4,63.4
13.4,PhD,16,2,5,100.0
17.8,Diploma,12,4,9,89.08
7.9,Bachelor's,13,2,5,59.01
1.6,High School,7,1,2,0.0
3.7,PhD,12,2,6,70.68
4.8,Master's,10,5,5,76.16
4.2,High School,6,2,3,6.55
8.4,High School,3,3,8,31.35
6.7,Bachelor's,8,1,10,61.82
1.6,Bachelor's,6,1,2,9.78
2.4,Master's,12,1,6,45.62
7.9,Diploma,6,0,8,38.35
10.3,Master's,9,3,3,61.99
4.8,Bachelor's,14,3,5,70.69
11.1,Bachelor's,10,5,2,56.41
4.4,Diploma,12,2,0,22.44
1.8,PhD,6,3,2,56.32
6.3,Bachelor's,14,1,5,69.78
22.9,Bachelor's,15,2,19,100.0
1.2,Bachelor's,14,0,1,31.87
10.9,Master's,13,3,8,100.0
6.0,Master's,10,2,3,50.45
2.2,Master's,7,1,5,40.43
0.5,Bachelor's,12,0,3,16.52
0.3,Master's,7,0,3,9.31
2.6,Bachelor's,13,1,3,39.82
5.4,Master's,12,1,4,59.39
7.5,Bachelor's,12,3,7,60.65
8.7,Bachelor's,10,3,8,70.09
5.0,PhD,12,3,4,65.06
4.5,PhD,8,3,5,62.45
